"word","speaker","segment","duration","group","u","speakerID","sessionID"
"cavaquinho","E2","in",0.0400453275360917,"inho","com_u","E","2"
"cavaquinho","N2","in",0.124903283505418,"inho","com_u","N","2"
"cavaquinho","N1","in",0.231881515637532,"inho","sem_u","N","1"
"cavaquinho","F1","in",0.153697780924219,"inho","sem_u","F","1"
"cavaquinho","B1","in",0.110317088883832,"inho","com_u","B","1"
"cavaquinho","Q1","in",0.158408533887055,"inho","sem_u","Q","1"
"cavaquinho","O1","in",0.16933452786688,"inho","sem_u","O","1"
"cavaquinho","P2","in",0.178869129661194,"inho","sem_u","P","2"
"chupim","F2","im",0.130433352546113,"im","sem_u","F","2"
"chupim","D2","im",0.10049470291198,"im","sem_u","D","2"
"chupim","P1","im",0.281842829039704,"im","sem_u","P","1"
"chupim","E2","im",0.121280134823579,"im","sem_u","E","2"
"chupim","C2","im",0.234551204139933,"im","sem_u","C","2"
"chupim","I1","im",0.201752173967524,"im","sem_u","I","1"
"chupim","Q1","im",0.19640087871047,"im","sem_u","Q","1"
"chupim","N1","im",0.172385600441046,"im","sem_u","N","1"
"chupim","A1","im",0.129670584402561,"im","sem_u","A","1"
"chupim","O2","im",0.183445738522458,"im","sem_u","O","2"
"chupim","C1","im",0.349909196189188,"im","sem_u","C","1"
"chupim","B1","im",0.273070995388933,"im","sem_u","B","1"
"chupim","G1","im",0.173148368584606,"im","sem_u","G","1"
"chupim","R1","im",0.16552068714914,"im","sem_u","R","1"
"chupim","G2","im",0.120517366680033,"im","sem_u","G","2"
"chupim","M1","im",0.275359299819574,"im","sem_u","M","1"
"chupim","B2","im",0.2021335580393,"im","sem_u","B","2"
"chupim","F1","im",0.257052864374486,"im","sem_u","F","1"
"chupim","R2","im",0.147595635775858,"im","sem_u","R","2"
"chupim","I2","im",0.185734042953094,"im","sem_u","I","2"
"chupim","H2","im",0.186496811096632,"im","sem_u","H","2"
"chupim","E1","im",0.170478680082198,"im","sem_u","E","1"
"chupim","A2","im",0.167046223436245,"im","sem_u","A","2"
"chupim","M2","im",0.160372002180232,"im","sem_u","M","2"
"chupim","P2","im",0.184208506666003,"im","sem_u","P","2"
"chupim","N2","im",0.157130237570165,"im","sem_u","N","2"
"chupim","H1","im",0.244848574077778,"im","sem_u","H","1"
"chupim","J2","im",0.178869129661187,"im","sem_u","J","2"
"chupim","D1","im",0.212049543905373,"im","sem_u","D","1"
"chupim","Q2","im",0.167427607508017,"im","sem_u","Q","2"
"chupim","O1","im",0.200226637680434,"im","sem_u","O","1"
"copinho","D2","in",0.0403313655899069,"dim","com_u","D","2"
"copinho","A2","in",0.160181310144338,"dim","sem_u","A","2"
"copinho","F2","in",0.0482731219075561,"dim","com_u","F","2"
"copinho","O2","in",0.219677225340817,"dim","sem_u","O","2"
"copinho","P2","in",0.148928290861761,"dim","com_u","P","2"
"copinho","B2","in",0.178487745589422,"dim","sem_u","B","2"
"copinho","E2","in",0.0736071258520496,"dim","com_u","E","2"
"copinho","G2","in",0.114224529495786,"dim","com_u","G","2"
"copinho","M2","in",0.153316396852446,"dim","sem_u","M","2"
"copinho","J2","in",0.176962209302332,"dim","sem_u","J","2"
"copinho","I2","in",0.178106361517649,"dim","sem_u","I","2"
"copinho","R2","in",0.086601938066508,"dim","com_u","R","2"
"copinho","C2","in",0.172004216369288,"dim","sem_u","C","2"
"copinho","H2","in",0.204803246541701,"dim","sem_u","H","2"
"copinho","Q2","in",0.101638855127305,"dim","com_u","Q","2"
"copinho","N2","in",0.110219996742174,"dim","com_u","N","2"
"corpinho","I2","in",0.191836188101448,"dim","sem_u","I","2"
"corpinho","Q1","in",0.173660853431045,"dim","sem_u","Q","1"
"corpinho","G2","in",0.153316396852446,"dim","sem_u","G","2"
"corpinho","P1","in",0.225779370489178,"dim","sem_u","P","1"
"corpinho","E1","in",0.0865741842923029,"dim","com_u","E","1"
"corpinho","E2","in",0.0755140462109054,"dim","com_u","E","2"
"corpinho","G1","in",0.181157434091816,"dim","sem_u","G","1"
"corpinho","C1","in",0.294875656299716,"dim","sem_u","C","1"
"corpinho","M2","in",0.138061033981558,"dim","com_u","M","2"
"corpinho","R2","in",0.146451483560547,"dim","sem_u","R","2"
"corpinho","I1","in",0.194124492532076,"dim","sem_u","I","1"
"corpinho","O1","in",0.165139303077389,"dim","sem_u","O","1"
"corpinho","Q2","in",0.272308227245389,"dim","sem_u","Q","2"
"corpinho","M1","in",0.200226637680437,"dim","sem_u","M","1"
"corpinho","O2","in",0.20175217396752,"dim","sem_u","O","2"
"corpinho","A1","in",0.164757919005609,"dim","sem_u","A","1"
"corpinho","N1","in",0.207091550972336,"dim","sem_u","N","1"
"corpinho","B2","in",0.0789465028568586,"dim","com_u","B","2"
"corpinho","H1","in",0.113810710702438,"dim","com_u","H","1"
"corpinho","J2","in",0.162088230503208,"dim","sem_u","J","2"
"corpinho","P2","in",0.1044992356656,"dim","com_u","P","2"
"corpinho","C2","in",0.23264428378107,"dim","sem_u","C","2"
"corpinho","R1","in",0.151028092421811,"dim","sem_u","R","1"
"corpinho","B1","in",0.191073419957903,"dim","sem_u","B","1"
"corpinho","A2","in",0.135772729550922,"dim","sem_u","A","2"
"corpinho","D2","in",0.104022505575884,"dim","sem_u","D","2"
"corpinho","N2","in",0.107942492193395,"dim","com_u","N","2"
"corpinho","F1","in",0.151028092421818,"dim","sem_u","F","1"
"corpinho","F2","in",0.157130237570165,"dim","sem_u","F","2"
"corpinho","H2","in",0.182301586307133,"dim","com_u","H","2"
"cupim","H2","im",0.172004216369317,"im","sem_u","H","2"
