"word","speaker","duration","group","u","speakerID","sessionID","segment"
"cavaquinho","A1",0.594771953998354,"inho","sem_u","A",1,"in"
"cavaquinho","G2",0.488725102843361,"inho","sem_u","G",2,"in"
"cavaquinho","E2",0.475321054667162,"inho","com_u","E",2,"in"
"cavaquinho","N2",0.600180742151196,"inho","com_u","N",2,"in"
"cavaquinho","N1",0.664357398224688,"inho","sem_u","N",1,"in"
"cavaquinho","F1",0.559463243924149,"inho","sem_u","F",1,"in"
"cavaquinho","B1",0.559412105065775,"inho","com_u","B",1,"in"
"cavaquinho","Q1",0.645779047314946,"inho","sem_u","Q",1,"in"
"cavaquinho","O1",0.706825728210141,"inho","sem_u","O",1,"in"
"cavaquinho","P2",0.607247603526446,"inho","sem_u","P",2,"in"
"chupim","F2",0.486266643786706,"im","sem_u","F",2,"im"
"chupim","D2",0.436018298769397,"im","sem_u","D",2,"im"
"chupim","P1",0.617195473536526,"im","sem_u","P",1,"im"
"chupim","E2",0.299767880412993,"im","sem_u","E",2,"im"
"chupim","C2",0.553191995244035,"im","sem_u","C",2,"im"
"chupim","I1",0.433293408248296,"im","sem_u","I",1,"im"
"chupim","Q1",0.54780999060722,"im","sem_u","Q",1,"im"
"chupim","N1",0.390566947594962,"im","sem_u","N",1,"im"
"chupim","A1",0.474441785284668,"im","sem_u","A",1,"im"
"chupim","O2",0.520047989594651,"im","sem_u","O",2,"im"
"chupim","C1",0.712461232623241,"im","sem_u","C",1,"im"
"chupim","B1",0.509490274288814,"im","sem_u","B",1,"im"
"chupim","G1",0.467545303708064,"im","sem_u","G",1,"im"
"chupim","R1",0.450127879690527,"im","sem_u","R",1,"im"
"chupim","G2",0.362314868183638,"im","sem_u","G",2,"im"
"chupim","M1",0.6359397497441,"im","sem_u","M",1,"im"
"chupim","B2",0.533883399496716,"im","sem_u","B",2,"im"
"chupim","F1",0.652147146326158,"im","sem_u","F",1,"im"
"chupim","R2",0.46787664810882,"im","sem_u","R",2,"im"
"chupim","I2",0.518439481502689,"im","sem_u","I",2,"im"
"chupim","H2",0.61015569544719,"im","sem_u","H",2,"im"
"chupim","E1",0.47920695960218,"im","sem_u","E",1,"im"
"chupim","A2",0.894910234541015,"im","sem_u","A",2,"im"
"chupim","M2",0.654993604267894,"im","sem_u","M",2,"im"
"chupim","P2",0.508625381691772,"im","sem_u","P",2,"im"
"chupim","N2",0.514557802452103,"im","sem_u","N",2,"im"
"chupim","H1",0.672639431712653,"im","sem_u","H",1,"im"
"chupim","J2",0.490342869091542,"im","sem_u","J",2,"im"
"chupim","D1",0.484374948054203,"im","sem_u","D",1,"im"
"chupim","Q2",0.690046846469528,"im","sem_u","Q",2,"im"
"chupim","O1",0.558118083676934,"im","sem_u","O",1,"im"
"copinho","D2",0.285094320168056,"dim","com_u","D",2,"in"
"copinho","A2",0.376030568259552,"dim","sem_u","A",2,"in"
"copinho","F2",0.308998119537804,"dim","com_u","F",2,"in"
"copinho","O2",0.450043582939131,"dim","sem_u","O",2,"in"
"copinho","P2",0.473308018132713,"dim","com_u","P",2,"in"
"copinho","B2",0.538514309342446,"dim","sem_u","B",2,"in"
"copinho","E2",0.35629593715872,"dim","com_u","E",2,"in"
"copinho","G2",0.357356875250602,"dim","com_u","G",2,"in"
"copinho","M2",0.478778052664481,"dim","sem_u","M",2,"in"
"copinho","J2",0.368013031260972,"dim","sem_u","J",2,"in"
"copinho","I2",0.417927023068728,"dim","sem_u","I",2,"in"
"copinho","R2",0.417015728708748,"dim","com_u","R",2,"in"
"copinho","C2",0.366977105155016,"dim","sem_u","C",2,"in"
"copinho","H2",0.474753542306388,"dim","sem_u","H",2,"in"
"copinho","Q2",0.362737272466632,"dim","com_u","Q",2,"in"
"copinho","N2",0.433372215663837,"dim","com_u","N",2,"in"
"corpinho","I2",0.518825997621406,"dim","sem_u","I",2,"in"
"corpinho","Q1",0.41552036762263,"dim","sem_u","Q",1,"in"
"corpinho","G2",0.345533969025659,"dim","sem_u","G",2,"in"
"corpinho","P1",0.537897987164705,"dim","sem_u","P",1,"in"
"corpinho","E1",0.34769430399259,"dim","com_u","E",1,"in"
"corpinho","E2",0.355449954891739,"dim","com_u","E",2,"in"
"corpinho","G1",0.44588638114864,"dim","sem_u","G",1,"in"
"corpinho","C1",0.5942134915094,"dim","sem_u","C",1,"in"
"corpinho","M2",0.392652115940045,"dim","com_u","M",2,"in"
"corpinho","R2",0.385769539902391,"dim","sem_u","R",2,"in"
"corpinho","I1",0.517096793020016,"dim","sem_u","I",1,"in"
"corpinho","O1",0.484116321084933,"dim","sem_u","O",1,"in"
"corpinho","Q2",0.631398586477985,"dim","sem_u","Q",2,"in"
"corpinho","M1",0.482386424245167,"dim","sem_u","M",1,"in"
"corpinho","O2",0.527138801916863,"dim","sem_u","O",2,"in"
"corpinho","A1",0.450033204691245,"dim","sem_u","A",1,"in"
"corpinho","N1",0.493880235342772,"dim","sem_u","N",1,"in"
"corpinho","B2",0.395876666499611,"dim","com_u","B",2,"in"
"corpinho","H1",0.46811651337886,"dim","com_u","H",1,"in"
"corpinho","J2",0.369363499328124,"dim","sem_u","J",2,"in"
"corpinho","P2",0.473877868322198,"dim","com_u","P",2,"in"
"corpinho","C2",0.547667527064959,"dim","sem_u","C",2,"in"
"corpinho","R1",0.401025351468512,"dim","sem_u","R",1,"in"
"corpinho","B1",0.431726769246183,"dim","sem_u","B",1,"in"
"corpinho","A2",0.447554208224744,"dim","sem_u","A",2,"in"
"corpinho","D2",0.331485501486306,"dim","sem_u","D",2,"in"
"corpinho","N2",0.448879438661578,"dim","com_u","N",2,"in"
"corpinho","F1",0.406364728473342,"dim","sem_u","F",1,"in"
"corpinho","F2",0.388019850177741,"dim","sem_u","F",2,"in"
"corpinho","H2",0.495214953480627,"dim","com_u","H",2,"in"
"cupim","H2",0.389236151323416,"im","sem_u","H",2,"im"
"cupim","Q2",0.385620316773043,"im","sem_u","Q",2,"im"
"cupim","I2",0.414363563945273,"im","sem_u","I",2,"im"
"cupim","D2",0.324166871486796,"im","sem_u","D",2,"im"
"cupim","I1",0.40543221499953,"im","sem_u","I",1,"im"
"cupim","F2",0.332566910585399,"im","sem_u","F",2,"im"
"cupim","B1",0.497324829591019,"im","sem_u","B",1,"im"
"cupim","A2",0.378332999198108,"im","sem_u","A",2,"im"
"cupim","G1",0.441829071961976,"im","sem_u","G",1,"im"
"cupim","N2",0.429546829828041,"im","sem_u","N",2,"im"
"cupim","O2",0.410762594339303,"im","sem_u","O",2,"im"
"cupim","O1",0.436446538811683,"im","sem_u","O",1,"im"
"cupim","B2",0.406555420509278,"im","sem_u","B",2,"im"
"cupim","R2",0.366136811679098,"im","sem_u","R",2,"im"
"cupim","P2",0.382218049882283,"im","sem_u","P",2,"im"
"cupim","J1",0.364109594845175,"im","sem_u","J",1,"im"
"cupim","J2",0.30618116689692,"im","sem_u","J",2,"im"
"cupim","C1",0.582314347749474,"im","sem_u","C",1,"im"
"cupim","P1",0.469732507092033,"im","sem_u","P",1,"im"
"cupim","H1",0.475566000090836,"im","sem_u","H",1,"im"
"cupim","C2",0.476203056324096,"im","sem_u","C",2,"im"
"cupim","E2",0.306755194179715,"im","sem_u","E",2,"im"
"cupim","R1",0.323759738548887,"im","sem_u","R",1,"im"
"cupim","E1",0.402550887755609,"im","sem_u","E",1,"im"
"cupim","A1",0.456898117983158,"im","sem_u","A",1,"im"
"cupim","M2",0.480183680992241,"im","sem_u","M",2,"im"
"cupim","G2",0.393207859886303,"im","sem_u","G",2,"im"
"cupim","F1",0.403253905282824,"im","sem_u","F",1,"im"
"cupim","Q1",0.357833605340318,"im","sem_u","Q",1,"im"
"cupim","N1",0.536213867309494,"im","sem_u","N",1,"im"
"espinho","B1",0.491222684442661,"inho","sem_u","B",1,"in"
"espinho","J1",0.390510200053406,"inho","com_u","J",1,"in"
"espinho","G1",0.566421113815792,"inho","com_u","G",1,"in"
"espinho","P2",0.405780624086731,"inho","sem_u","P",2,"in"
"espinho","G2",0.359835871717138,"inho","sem_u","G",2,"in"
"espinho","M1",0.495924168004137,"inho","com_u","M",1,"in"
"espinho","Q2",0.418703926539024,"inho","com_u","Q",2,"in"
"espinho","B2",0.371566592638146,"inho","com_u","B",2,"in"
"espinho","H2",0.395084446458156,"inho","sem_u","H",2,"in"
"espinho","O2",0.376223155660171,"inho","sem_u","O",2,"in"
"espinho","H1",0.618676729137988,"inho","com_u","H",1,"in"
"espinho","I1",0.464386253277596,"inho","com_u","I",1,"in"
"espinho","P1",0.515078456914551,"inho","com_u","P",1,"in"
"espinho","A2",0.426387392241338,"inho","sem_u","A",2,"in"
"espinho","D1",0.346678121240984,"inho","sem_u","D",1,"in"
"espinho","C1",0.785507887551049,"inho","com_u","C",1,"in"
"espinho","M2",0.514243492415233,"inho","sem_u","M",2,"in"
"espinho","E2",0.322841616755227,"inho","com_u","E",2,"in"
"espinho","D2",0.331041374298223,"inho","sem_u","D",2,"in"
"espinho","F2",0.36514328541935,"inho","com_u","F",2,"in"
"espinho","F1",0.383189001257719,"inho","sem_u","F",1,"in"
"espinho","Q1",0.313640726023706,"inho","sem_u","Q",1,"in"
"espinho","J2",0.342299002879855,"inho","sem_u","J",2,"in"
"espinho","O1",0.467647864783501,"inho","sem_u","O",1,"in"
"espinho","N2",0.38928010345407,"inho","sem_u","N",2,"in"
"espinho","C2",0.408792293234228,"inho","sem_u","C",2,"in"
"espinho","E1",0.402157595293509,"inho","com_u","E",1,"in"
"espinho","N1",0.428668110670571,"inho","sem_u","N",1,"in"
"espinho","R1",0.380081723845677,"inho","com_u","R",1,"in"
"espinho","R2",0.388154799014444,"inho","sem_u","R",2,"in"
"espinho","I2",0.378381378173941,"inho","sem_u","I",2,"in"
"golfinho","O1",0.464084407043668,"inho","sem_u","O",1,"in"
"golfinho","D1",0.363459020398958,"inho","sem_u","D",1,"in"
"golfinho","C1",0.526537111374992,"inho","com_u","C",1,"in"
"golfinho","D2",0.391661226155691,"inho","sem_u","D",2,"in"
"golfinho","R2",0.390264980513933,"inho","sem_u","R",2,"in"
"golfinho","J1",0.474398442005338,"inho","com_u","J",1,"in"
"golfinho","G1",0.495025063121801,"inho","com_u","G",1,"in"
"golfinho","F2",0.373652733943402,"inho","sem_u","F",2,"in"
"golfinho","Q2",0.534700468624692,"inho","com_u","Q",2,"in"
"golfinho","G2",0.426316048147612,"inho","sem_u","G",2,"in"
"golfinho","H1",0.616316659983951,"inho","com_u","H",1,"in"
"golfinho","M2",0.495799293303918,"inho","sem_u","M",2,"in"
"golfinho","P2",0.461449864339301,"inho","sem_u","P",2,"in"
"golfinho","H2",0.458602082590517,"inho","sem_u","H",2,"in"
"golfinho","E1",0.380621303628715,"inho","com_u","E",1,"in"
"golfinho","B2",0.410369261226975,"inho","sem_u","B",2,"in"
"golfinho","I2",0.40940908185496,"inho","sem_u","I",2,"in"
"golfinho","M1",0.449712626578233,"inho","com_u","M",1,"in"
"golfinho","N2",0.409750979766756,"inho","com_u","N",2,"in"
"golfinho","O2",0.411328776810933,"inho","sem_u","O",2,"in"
"golfinho","J2",0.444758261500624,"inho","sem_u","J",2,"in"
"golfinho","A1",0.37909576734161,"inho","sem_u","A",1,"in"
"golfinho","B1",0.460711958700884,"inho","com_u","B",1,"in"
"golfinho","E2",0.369942549619083,"inho","com_u","E",2,"in"
"golfinho","F1",0.515945161648332,"inho","com_u","F",1,"in"
"golfinho","A2",0.400453275360888,"inho","sem_u","A",2,"in"
"golfinho","P1",0.572076107658376,"inho","sem_u","P",1,"in"
"golfinho","I1",0.469190942625278,"inho","sem_u","I",1,"in"
"golfinho","R1",0.443000932417817,"inho","sem_u","R",1,"in"
"golfinho","N1",0.574353791687013,"inho","com_u","N",1,"in"
"golfinho","C2",0.356684192539888,"inho","com_u","C",2,"in"
"golfinho","Q1",0.45479804404502,"inho","sem_u","Q",1,"in"
"grupinho","R1",0.41418052176353,"dim","com_u","R",1,"in"
"grupinho","F1",0.414945870088211,"dim","sem_u","F",1,"in"
"grupinho","A2",0.469189279409989,"dim","sem_u","A",2,"in"
"grupinho","P1",0.480069775344106,"dim","com_u","P",1,"in"
"grupinho","A1",0.397499418551373,"dim","sem_u","A",1,"in"
"grupinho","N1",0.523523678875179,"dim","sem_u","N",1,"in"
"grupinho","N2",0.419594722291137,"dim","com_u","N",2,"in"
"grupinho","J2",0.234736246676007,"dim","sem_u","J",2,"in"
"grupinho","M2",0.383873635554266,"dim","com_u","M",2,"in"
"grupinho","H1",0.536226004911786,"dim","com_u","H",1,"in"
"grupinho","B1",0.28832635825983,"dim","sem_u","B",1,"in"
"grupinho","P2",0.476231214191088,"dim","sem_u","P",2,"in"
"grupinho","G2",0.299767880413,"dim","sem_u","G",2,"in"
"grupinho","I2",0.360301687593363,"dim","sem_u","I",2,"in"
"grupinho","H2",0.440482251276109,"dim","sem_u","H",2,"in"
"grupinho","F2",0.382414553353968,"dim","com_u","F",2,"in"
"grupinho","O1",0.468269882982369,"dim","sem_u","O",1,"in"
"grupinho","C2",0.483761813340337,"dim","com_u","C",2,"in"
"grupinho","R2",0.329896922952855,"dim","sem_u","R",2,"in"
"grupinho","Q1",0.460133263703165,"dim","sem_u","Q",1,"in"
"grupinho","D1",0.395814638413015,"dim","sem_u","D",1,"in"
"grupinho","E1",0.371956908478769,"dim","com_u","E",1,"in"
"grupinho","I1",0.468730192631554,"dim","sem_u","I",1,"in"
"grupinho","Q2",0.476905071217573,"dim","com_u","Q",2,"in"
"grupinho","G1",0.38748621692061,"dim","sem_u","G",1,"in"
"grupinho","C1",0.584435682802791,"dim","com_u","C",1,"in"
"grupinho","E2",0.614967791169363,"dim","com_u","E",2,"in"
"grupinho","D2",0.350513065681838,"dim","sem_u","D",2,"in"
"grupinho","O2",0.418049305245731,"dim","sem_u","O",2,"in"
"grupinho","J1",0.345261082370595,"dim","sem_u","J",1,"in"
"grupinho","M1",0.610262290761398,"dim","sem_u","M",1,"in"
"grupinho","B2",0.281461444967931,"dim","sem_u","B",2,"in"
"jobim","A1",0.544616454490777,"im","sem_u","A",1,"im"
"jobim","Q2",0.416100489123153,"im","sem_u","Q",2,"im"
"jobim","E1",0.589760792472202,"im","sem_u","E",1,"im"
"jobim","J2",0.480631328286059,"im","sem_u","J",2,"im"
"jobim","G1",0.421172226469722,"im","sem_u","G",1,"im"
"jobim","N2",0.402288462051587,"im","sem_u","N",2,"im"
"jobim","C2",0.565211194366476,"im","sem_u","C",2,"im"
"jobim","P2",0.660332692811984,"im","sem_u","P",2,"im"
"jobim","Q1",0.570903433618298,"im","sem_u","Q",1,"im"
"jobim","R2",0.428815445999732,"im","sem_u","R",2,"im"
"jobim","F1",0.470482690299217,"im","sem_u","F",1,"im"
"jobim","B2",0.437066146251002,"im","sem_u","B",2,"im"
"jobim","H1",0.498763873287215,"im","sem_u","H",1,"im"
"jobim","O2",0.585095528681965,"im","sem_u","O",2,"im"
"jobim","F2",0.447957601557317,"im","sem_u","F",2,"im"
